0.00651	3.69565
0.01659	2.93478
0.02897	2.64946
0.04446	2.26902
0.05607	1.9837
0.07308	2.0788
0.08468	2.0788
0.09628	2.26902
0.1102	2.36413
0.12952	2.74457
0.14033	3.22011
0.15347	3.69565
0.17355	4.55163
0.18668	5.3125
0.20442	6.54891
0.21598	7.97554
0.23059	10.6386
0.23596	11.9701
0.24053	14.0625
0.24585	16.7255
0.24884	20.0543
0.26359	18.5326
0.26982	17.0109
0.27915	15.6793
0.29931	14.0625
0.32022	13.3967
0.33804	12.5408
0.35507	12.1603
0.37055	11.875
0.38525	11.4946
0.4015	11.3043
0.41698	11.019
0.44716	10.6386
0.4812	10.5435
