# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.001849642   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730375e+02	(1.015000e-04 3.950000e-05 5.000000e-07)	1
0.001949036   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730408e+02	(1.015000e-04 3.950000e-05 5.000000e-07)	1
0.002048431   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730442e+02	(1.015000e-04 3.950000e-05 5.000000e-07)	1
0.002147826   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730476e+02	(1.015000e-04 3.950000e-05 5.000000e-07)	1
0.00224722    	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730511e+02	(1.015000e-04 4.050000e-05 5.000000e-07)	1
0.002346615   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730546e+02	(1.025000e-04 4.050000e-05 5.000000e-07)	1
0.002446009   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730582e+02	(1.025000e-04 4.050000e-05 5.000000e-07)	1
0.002545404   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730617e+02	(1.025000e-04 4.050000e-05 5.000000e-07)	1
0.002644799   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730653e+02	(1.025000e-04 3.950000e-05 5.000000e-07)	1
0.002744193   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730690e+02	(1.025000e-04 4.050000e-05 5.000000e-07)	1
0.002843588   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730726e+02	(1.025000e-04 4.050000e-05 5.000000e-07)	1
0.002942983   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730763e+02	(1.035000e-04 4.050000e-05 5.000000e-07)	1
0.003042377   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730800e+02	(1.035000e-04 4.050000e-05 5.000000e-07)	1
0.003141772   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730837e+02	(1.035000e-04 4.050000e-05 5.000000e-07)	1
0.003241166   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730874e+02	(1.035000e-04 3.950000e-05 5.000000e-07)	1
0.003340561   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730912e+02	(1.045000e-04 3.950000e-05 5.000000e-07)	1
0.003439956   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730949e+02	(1.045000e-04 4.050000e-05 5.000000e-07)	1
0.00353935    	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.730987e+02	(1.045000e-04 4.050000e-05 5.000000e-07)	1
0.003638745   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731025e+02	(1.055000e-04 4.050000e-05 5.000000e-07)	1
0.003738139   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731063e+02	(1.055000e-04 4.050000e-05 5.000000e-07)	1
0.003837534   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731101e+02	(1.065000e-04 4.050000e-05 5.000000e-07)	3
0.003936929   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731139e+02	(1.065000e-04 4.050000e-05 5.000000e-07)	3
0.004036323   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731177e+02	(1.075000e-04 3.950000e-05 5.000000e-07)	3
0.004135718   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731215e+02	(1.075000e-04 4.050000e-05 5.000000e-07)	3
0.004235112   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731253e+02	(1.085000e-04 4.050000e-05 5.000000e-07)	3
0.004334507   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731292e+02	(1.095000e-04 3.950000e-05 5.000000e-07)	3
0.004433902   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731330e+02	(1.105000e-04 3.950000e-05 5.000000e-07)	3
0.004533296   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731369e+02	(1.115000e-04 4.050000e-05 5.000000e-07)	3
0.004632691   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731407e+02	(1.125000e-04 3.950000e-05 5.000000e-07)	3
0.004732086   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731446e+02	(1.125000e-04 3.950000e-05 5.000000e-07)	3
0.00483148    	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731485e+02	(1.135000e-04 4.050000e-05 5.000000e-07)	3
0.004930875   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731524e+02	(1.135000e-04 4.050000e-05 5.000000e-07)	3
0.005030269   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731562e+02	(1.145000e-04 3.950000e-05 5.000000e-07)	3
0.005129664   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731601e+02	(1.145000e-04 4.050000e-05 5.000000e-07)	3
0.005229059   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731640e+02	(1.145000e-04 3.950000e-05 5.000000e-07)	3
0.005328453   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731679e+02	(1.155000e-04 3.950000e-05 5.000000e-07)	3
0.005427848   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731718e+02	(1.155000e-04 3.950000e-05 5.000000e-07)	3
0.005527242   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731757e+02	(1.155000e-04 4.050000e-05 5.000000e-07)	3
0.005626637   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731796e+02	(1.155000e-04 3.950000e-05 5.000000e-07)	3
0.005726032   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731835e+02	(1.165000e-04 3.950000e-05 5.000000e-07)	3
0.005825426   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731874e+02	(1.165000e-04 4.050000e-05 5.000000e-07)	3
0.005924821   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731914e+02	(1.165000e-04 3.950000e-05 5.000000e-07)	3
0.006024215   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731953e+02	(1.165000e-04 4.050000e-05 5.000000e-07)	3
0.00612361    	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.731992e+02	(1.165000e-04 4.050000e-05 5.000000e-07)	3
0.006223005   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732031e+02	(1.165000e-04 4.050000e-05 5.000000e-07)	3
0.006322399   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732071e+02	(1.165000e-04 4.050000e-05 5.000000e-07)	3
0.006421794   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732110e+02	(1.175000e-04 3.950000e-05 5.000000e-07)	3
0.006521189   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732149e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.006620583   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732189e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.006719978   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732228e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.006819372   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732268e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.006918767   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732307e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.007018162   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732347e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.007117556   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732386e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.007216951   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732426e+02	(1.175000e-04 4.050000e-05 5.000000e-07)	3
0.007316345   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732466e+02	(1.175000e-04 3.950000e-05 5.000000e-07)	3
0.00741574    	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732505e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.007515135   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732545e+02	(1.185000e-04 4.050000e-05 5.000000e-07)	3
0.007614529   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732585e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.007713924   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732625e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.007813319   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732664e+02	(1.185000e-04 4.050000e-05 5.000000e-07)	3
0.007912713   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732704e+02	(1.185000e-04 4.050000e-05 5.000000e-07)	3
0.008012108   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732744e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.008111502   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732784e+02	(1.185000e-04 4.050000e-05 5.000000e-07)	3
0.008210897   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732824e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.008310292   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732864e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.008409686   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732904e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.008509081   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732944e+02	(1.185000e-04 4.050000e-05 5.000000e-07)	3
0.008608475   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.732984e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.00870787    	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.733024e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
0.008807265   	T             	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0	5.733064e+02	(1.185000e-04 3.950000e-05 5.000000e-07)	3
