"Norm_Ux","Points:0","Points:1","Points:2"
1.093,0.00015,1.36e-05,1.36e-07
1.0973,0.00015,1.37e-05,1.37e-07
1.1015,0.00015,1.38e-05,1.38e-07
1.1058,0.00015,1.39e-05,1.39e-07
1.1101,0.00015,1.4e-05,1.4e-07
1.1139,0.00015,1.41e-05,1.41e-07
1.1177,0.00015,1.42e-05,1.42e-07
1.1215,0.00015,1.43e-05,1.43e-07
1.1253,0.00015,1.44e-05,1.44e-07
1.1291,0.00015,1.45e-05,1.45e-07
1.1328,0.00015,1.46e-05,1.46e-07
1.1366,0.00015,1.47e-05,1.47e-07
1.1404,0.00015,1.48e-05,1.48e-07
1.1442,0.00015,1.49e-05,1.49e-07
1.148,0.00015,1.5e-05,1.5e-07
1.1512,0.00015,1.51e-05,1.51e-07
1.1545,0.00015,1.52e-05,1.52e-07
1.1578,0.00015,1.53e-05,1.53e-07
1.161,0.00015,1.54e-05,1.54e-07
1.1643,0.00015,1.55e-05,1.55e-07
1.1676,0.00015,1.56e-05,1.56e-07
1.1708,0.00015,1.57e-05,1.57e-07
1.1741,0.00015,1.58e-05,1.58e-07
1.1774,0.00015,1.59e-05,1.59e-07
1.1806,0.00015,1.6e-05,1.6e-07
1.1834,0.00015,1.61e-05,1.61e-07
1.1861,0.00015,1.62e-05,1.62e-07
1.1889,0.00015,1.63e-05,1.63e-07
1.1916,0.00015,1.64e-05,1.64e-07
1.1944,0.00015,1.65e-05,1.65e-07
1.1971,0.00015,1.66e-05,1.66e-07
1.1999,0.00015,1.67e-05,1.67e-07
1.2026,0.00015,1.68e-05,1.68e-07
1.2054,0.00015,1.69e-05,1.69e-07
1.2081,0.00015,1.7e-05,1.7e-07
1.2103,0.00015,1.71e-05,1.71e-07
1.2125,0.00015,1.72e-05,1.72e-07
1.2148,0.00015,1.73e-05,1.73e-07
1.217,0.00015,1.74e-05,1.74e-07
1.2192,0.00015,1.75e-05,1.75e-07
1.2214,0.00015,1.76e-05,1.76e-07
1.2237,0.00015,1.77e-05,1.77e-07
1.2259,0.00015,1.78e-05,1.78e-07
1.2281,0.00015,1.79e-05,1.79e-07
1.2303,0.00015,1.8e-05,1.8e-07
1.232,0.00015,1.81e-05,1.81e-07
1.2337,0.00015,1.82e-05,1.82e-07
1.2354,0.00015,1.83e-05,1.83e-07
1.2371,0.00015,1.84e-05,1.84e-07
1.2388,0.00015,1.85e-05,1.85e-07
1.2405,0.00015,1.86e-05,1.86e-07
1.2421,0.00015,1.87e-05,1.87e-07
1.2438,0.00015,1.88e-05,1.88e-07
1.2455,0.00015,1.89e-05,1.89e-07
1.2472,0.00015,1.9e-05,1.9e-07
1.2484,0.00015,1.91e-05,1.91e-07
1.2495,0.00015,1.92e-05,1.92e-07
1.2506,0.00015,1.93e-05,1.93e-07
1.2518,0.00015,1.94e-05,1.94e-07
1.2529,0.00015,1.95e-05,1.95e-07
1.2541,0.00015,1.96e-05,1.96e-07
1.2552,0.00015,1.97e-05,1.97e-07
1.2564,0.00015,1.98e-05,1.98e-07
1.2575,0.00015,1.99e-05,1.99e-07
1.2587,0.00015,2e-05,2e-07
1.2593,0.00015,2.01e-05,2.01e-07
1.2598,0.00015,2.02e-05,2.02e-07
1.2604,0.00015,2.03e-05,2.03e-07
1.261,0.00015,2.04e-05,2.04e-07
1.2616,0.00015,2.05e-05,2.05e-07
1.2622,0.00015,2.06e-05,2.06e-07
1.2628,0.00015,2.07e-05,2.07e-07
1.2634,0.00015,2.08e-05,2.08e-07
1.264,0.00015,2.09e-05,2.09e-07
1.2645,0.00015,2.1e-05,2.1e-07
1.2645,0.00015,2.11e-05,2.11e-07
1.2646,0.00015,2.12e-05,2.12e-07
1.2646,0.00015,2.13e-05,2.13e-07
1.2646,0.00015,2.14e-05,2.14e-07
1.2646,0.00015,2.15e-05,2.15e-07
1.2646,0.00015,2.16e-05,2.16e-07
1.2646,0.00015,2.17e-05,2.17e-07
1.2646,0.00015,2.18e-05,2.18e-07
1.2646,0.00015,2.19e-05,2.19e-07
1.2646,0.00015,2.2e-05,2.2e-07
1.2641,0.00015,2.21e-05,2.21e-07
1.2635,0.00015,2.22e-05,2.22e-07
1.2629,0.00015,2.23e-05,2.23e-07
1.2623,0.00015,2.24e-05,2.24e-07
1.2617,0.00015,2.25e-05,2.25e-07
1.2611,0.00015,2.26e-05,2.26e-07
1.2605,0.00015,2.27e-05,2.27e-07
1.2599,0.00015,2.28e-05,2.28e-07
1.2594,0.00015,2.29e-05,2.29e-07
1.2588,0.00015,2.3e-05,2.3e-07
1.2576,0.00015,2.31e-05,2.31e-07
1.2563,0.00015,2.32e-05,2.32e-07
1.2551,0.00015,2.33e-05,2.33e-07
1.2539,0.00015,2.34e-05,2.34e-07
1.2527,0.00015,2.35e-05,2.35e-07
1.2515,0.00015,2.36e-05,2.36e-07
1.2503,0.00015,2.37e-05,2.37e-07
1.2491,0.00015,2.38e-05,2.38e-07
1.2479,0.00015,2.39e-05,2.39e-07
1.2466,0.00015,2.4e-05,2.4e-07
1.2448,0.00015,2.41e-05,2.41e-07
1.2429,0.00015,2.42e-05,2.42e-07
1.241,0.00015,2.43e-05,2.43e-07
1.2391,0.00015,2.44e-05,2.44e-07
1.2373,0.00015,2.45e-05,2.45e-07
1.2354,0.00015,2.46e-05,2.46e-07
1.2335,0.00015,2.47e-05,2.47e-07
1.2317,0.00015,2.48e-05,2.48e-07
1.2298,0.00015,2.49e-05,2.49e-07
1.2279,0.00015,2.5e-05,2.5e-07
1.2253,0.00015,2.51e-05,2.51e-07
1.2228,0.00015,2.52e-05,2.52e-07
1.2202,0.00015,2.53e-05,2.53e-07
1.2176,0.00015,2.54e-05,2.54e-07
1.2151,0.00015,2.55e-05,2.55e-07
1.2125,0.00015,2.56e-05,2.56e-07
1.2099,0.00015,2.57e-05,2.57e-07
1.2073,0.00015,2.58e-05,2.58e-07
1.2048,0.00015,2.59e-05,2.59e-07
1.2022,0.00015,2.6e-05,2.6e-07
1.1989,0.00015,2.61e-05,2.61e-07
1.1956,0.00015,2.62e-05,2.62e-07
1.1922,0.00015,2.63e-05,2.63e-07
1.1889,0.00015,2.64e-05,2.64e-07
1.1856,0.00015,2.65e-05,2.65e-07
1.1823,0.00015,2.66e-05,2.66e-07
1.179,0.00015,2.67e-05,2.67e-07
1.1756,0.00015,2.68e-05,2.68e-07
1.1723,0.00015,2.69e-05,2.69e-07
1.169,0.00015,2.7e-05,2.7e-07
1.1649,0.00015,2.71e-05,2.71e-07
1.1607,0.00015,2.72e-05,2.72e-07
1.1566,0.00015,2.73e-05,2.73e-07
1.1525,0.00015,2.74e-05,2.74e-07
1.1484,0.00015,2.75e-05,2.75e-07
1.1442,0.00015,2.76e-05,2.76e-07
1.1401,0.00015,2.77e-05,2.77e-07
1.136,0.00015,2.78e-05,2.78e-07
1.1319,0.00015,2.79e-05,2.79e-07
1.1277,0.00015,2.8e-05,2.8e-07
1.1227,0.00015,2.81e-05,2.81e-07
1.1177,0.00015,2.82e-05,2.82e-07
1.1127,0.00015,2.83e-05,2.83e-07
1.1077,0.00015,2.84e-05,2.84e-07
1.1027,0.00015,2.85e-05,2.85e-07
1.0977,0.00015,2.86e-05,2.86e-07
1.0927,0.00015,2.87e-05,2.87e-07
1.0877,0.00015,2.88e-05,2.88e-07
1.0827,0.00015,2.89e-05,2.89e-07
1.0777,0.00015,2.9e-05,2.9e-07
1.0718,0.00015,2.91e-05,2.91e-07
1.0658,0.00015,2.92e-05,2.92e-07
1.0599,0.00015,2.93e-05,2.93e-07
1.0539,0.00015,2.94e-05,2.94e-07
1.048,0.00015,2.95e-05,2.95e-07
1.042,0.00015,2.96e-05,2.96e-07
1.036,0.00015,2.97e-05,2.97e-07
1.0301,0.00015,2.98e-05,2.98e-07
1.0241,0.00015,2.99e-05,2.99e-07
1.0182,0.00015,3e-05,3e-07
1.0112,0.00015,3.01e-05,3.01e-07
1.0041,0.00015,3.02e-05,3.02e-07
0.99713,0.00015,3.03e-05,3.03e-07
0.99012,0.00015,3.04e-05,3.04e-07
0.98311,0.00015,3.05e-05,3.05e-07
0.97609,0.00015,3.06e-05,3.06e-07
0.96908,0.00015,3.07e-05,3.07e-07
0.96207,0.00015,3.08e-05,3.08e-07
