# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
12.2            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.24842374e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.2            	U               	(-8.55752487e-01 -1.00182018e+00 -7.36416447e-17)	(4.50200774e+01 2.18157452e+01 0.00000000e+00)	(1.12743225e-02 3.12254479e+00 1.33163849e-16)	(5.41369858e+01 4.00464806e+00 0.00000000e+00)
12.25           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.27384834e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.25           	U               	(-8.08931275e-01 -9.38944334e-01 -7.57025369e-17)	(4.50200774e+01 2.18157452e+01 0.00000000e+00)	(1.23878896e-02 3.12258694e+00 1.36543360e-16)	(5.41369858e+01 4.00464806e+00 0.00000000e+00)
12.3            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.29497801e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.3            	U               	(-7.61216187e-01 -8.74958822e-01 -7.76033984e-17)	(4.50200774e+01 2.18157452e+01 0.00000000e+00)	(1.35147828e-02 3.12262698e+00 1.39548467e-16)	(5.41369858e+01 4.00464806e+00 0.00000000e+00)
12.35           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.31196868e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.35           	U               	(-7.12847264e-01 -8.10181847e-01 -7.93837351e-17)	(4.50200774e+01 2.18157452e+01 0.00000000e+00)	(1.46743335e-02 3.12267497e+00 1.42339582e-16)	(5.41369858e+01 4.00464806e+00 0.00000000e+00)
12.4            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.32869161e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.4            	U               	(-7.96352823e-01 -8.65351890e-01 -5.52279931e-17)	(4.36910229e+01 2.03089752e+01 0.00000000e+00)	(1.58466512e-02 3.12272463e+00 1.44484694e-16)	(5.41369858e+01 4.00464806e+00 0.00000000e+00)
12.45           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.34073218e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.45           	U               	(-7.37195484e-01 -8.05466856e-01 -5.60818864e-17)	(4.36910229e+01 2.03089752e+01 0.00000000e+00)	(1.70292957e-02 3.12277661e+00 1.46474408e-16)	(5.41369858e+01 4.00464806e+00 0.00000000e+00)
12.5            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.35589458e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.5            	U               	(-5.95193723e-01 -9.94429181e-01 -3.33023461e-17)	(4.61979245e+01 1.71717329e+01 0.00000000e+00)	(1.59969552e-01 1.42687536e-01 1.56330709e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.55           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.36563209e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.55           	U               	(-5.46107241e-01 -9.54552407e-01 -3.36052314e-17)	(4.61979245e+01 1.71717329e+01 0.00000000e+00)	(2.36780039e-01 1.48967554e-01 1.56723802e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.6            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.37224012e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.6            	U               	(-4.96592469e-01 -9.14492992e-01 -3.38935688e-17)	(4.61979245e+01 1.71717329e+01 0.00000000e+00)	(3.14975932e-01 1.56242407e-01 1.56788643e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.65           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.37677237e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.65           	U               	(-4.47642515e-01 -8.74956148e-01 -3.40658634e-17)	(4.61979245e+01 1.71717329e+01 0.00000000e+00)	(3.90163867e-01 1.61259736e-01 1.56640601e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.7            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.37957861e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.7            	U               	(-1.76771914e-01 -8.69293339e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(4.65163457e-01 1.65759436e-01 1.56313360e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.75           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.37539447e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.75           	U               	(-1.63891300e-01 -8.76542510e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(5.40939670e-01 1.67863406e-01 1.55166430e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.8            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.36882941e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.8            	U               	(-1.50441803e-01 -8.82970924e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(6.16330412e-01 1.70128589e-01 1.53739259e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.85           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.35776758e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.85           	U               	(-1.36252724e-01 -8.88733859e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(6.94269541e-01 1.68151760e-01 1.52086893e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.9            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.34401659e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
12.9            	U               	(-1.21653760e-01 -8.93502299e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(7.72819188e-01 1.64259554e-01 1.50171725e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
12.95           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.32694249e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
12.95           	U               	(-1.06274018e-01 -8.97650946e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(8.52714763e-01 1.58332124e-01 1.47865025e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
13              	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.30765539e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13              	U               	(-9.05854942e-02 -9.00725931e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(9.33136287e-01 1.49356565e-01 1.45249038e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
13.05           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.28217693e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.05           	U               	(-7.46488342e-02 -9.02694163e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.01181526e+00 1.40772810e-01 1.41960490e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
13.1            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.25159755e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.1            	U               	(-5.84725414e-02 -9.03583989e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.08792419e+00 1.32395680e-01 1.38337985e-16)	(3.34857373e+00 9.00000000e+00 0.00000000e+00)
13.15           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.22197483e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.15           	U               	(-4.20780201e-02 -9.03420974e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.00478352e+00 3.00253812e-01 2.88359323e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.2            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.18511662e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.2            	U               	(-2.58072558e-02 -9.01920056e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.05254315e+00 3.20240092e-01 2.79103544e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.25           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.14481237e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.25           	U               	(-9.88332620e-03 -8.98924217e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09788466e+00 3.38888840e-01 2.68365873e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.3            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.10118579e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.3            	U               	(5.57094898e-03 -8.94383086e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.14075741e+00 3.56129875e-01 2.56876686e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.35           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.05860674e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.35           	U               	(2.06249240e-02 -8.88444965e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.18109723e+00 3.71640369e-01 2.46095454e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.4            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.01251333e+02	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.4            	U               	(3.53089854e-02 -8.81225177e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.21877389e+00 3.85632683e-01 2.34500890e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.45           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	9.62332590e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.45           	U               	(4.96314028e-02 -8.72822105e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.25376018e+00 3.98589539e-01 2.21857741e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.5            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	9.08827092e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.5            	U               	(6.35865160e-02 -8.63324536e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.28559824e+00 4.10226074e-01 2.08669160e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.55           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	8.53185746e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.55           	U               	(7.71595122e-02 -8.52815561e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.31444573e+00 4.20382172e-01 1.95200371e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.6            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	7.94651558e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.6            	U               	(9.03289741e-02 -8.41374232e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34025743e+00 4.29109657e-01 1.81132302e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.65           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	7.33751070e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.65           	U               	(1.03068851e-01 -8.29076650e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.36297829e+00 4.36440315e-01 1.66661673e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.7            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	6.70623187e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.7            	U               	(1.15350064e-01 -8.15996695e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.38251896e+00 4.42370634e-01 1.51796162e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.75           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	6.05400450e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.75           	U               	(1.27143388e-01 -8.02208026e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.39900843e+00 4.47093261e-01 1.36560826e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.8            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	5.38254732e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.8            	U               	(1.38417138e-01 -7.87780987e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.41231509e+00 4.50490771e-01 1.20962992e-16)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
13.85           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	4.69348189e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.85           	U               	(1.49139371e-01 -7.72784026e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.43369043e+00 3.65408764e-01 6.18874396e-17)	(3.42802150e+01 1.33777123e+01 0.00000000e+00)
13.9            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	3.98990646e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.9            	U               	(1.59276565e-01 -7.57281706e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.45607993e+00 3.76765652e-01 5.23163673e-17)	(3.42802150e+01 1.33777123e+01 0.00000000e+00)
13.95           	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	3.27392438e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
13.95           	U               	(1.68796208e-01 -7.41336612e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.47465211e+00 3.86689216e-01 4.26127854e-17)	(3.42802150e+01 1.33777123e+01 0.00000000e+00)
14              	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	2.54713233e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
14              	U               	(1.77668759e-01 -7.25010668e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.48934981e+00 3.95119248e-01 3.27871654e-17)	(3.42802150e+01 1.33777123e+01 0.00000000e+00)
14.05           	p               	-1.81218384e-01	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.81162595e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
14.05           	U               	(1.85866362e-01 -7.08363308e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.50012884e+00 4.02005938e-01 2.28642012e-17)	(3.42802150e+01 1.33777123e+01 0.00000000e+00)
14.1            	p               	-3.83291120e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.07018639e+01	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
14.1            	U               	(1.93363346e-01 -6.91451486e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.50692807e+00 4.07362563e-01 1.28762833e-17)	(3.42802150e+01 1.33777123e+01 0.00000000e+00)
14.15           	p               	-7.48906337e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	4.60766973e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.15           	U               	(2.00134020e-01 -6.74327107e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.41605530e+00 4.39342137e-01 5.35832171e-18)	(4.13553954e+01 9.60476175e+00 0.00000000e+00)
14.2            	p               	-1.11395988e+01	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	7.76586985e-01	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.2            	U               	(2.06157047e-01 -6.57041016e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(8.08104637e-01 2.77434523e+00 3.87719601e-18)	(5.70259417e+01 1.48689905e+01 0.00000000e+00)
14.25           	p               	-1.47706803e+01	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.12232268e-01	(4.86666667e+01 6.33333333e+01 0.00000000e+00)
14.25           	U               	(2.11414382e-01 -6.39641651e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(7.45595982e-01 3.29934627e+00 1.10460222e-17)	(5.42012395e+01 9.62823028e+00 0.00000000e+00)
14.3            	p               	-1.91842180e+01	(1.15470054e+00 8.00000000e+00 0.00000000e+00)	5.04375060e-02	(4.86666667e+01 6.33333333e+01 0.00000000e+00)
14.3            	U               	(2.15891779e-01 -6.22175319e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(7.26920966e-01 3.27720134e+00 1.97754836e-17)	(5.42012395e+01 9.62823028e+00 0.00000000e+00)
14.35           	p               	-2.64760834e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.35           	U               	(2.19578450e-01 -6.04685686e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(7.06393459e-01 3.25536795e+00 2.85032486e-17)	(5.42012395e+01 9.62823028e+00 0.00000000e+00)
14.4            	p               	-3.37614020e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.4            	U               	(2.22465150e-01 -5.87211800e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(6.84197412e-01 3.23387965e+00 3.71976753e-17)	(5.42012395e+01 9.62823028e+00 0.00000000e+00)
14.45           	p               	-4.09511073e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.45           	U               	(2.24548865e-01 -5.69792665e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.08053403e+00 7.15590322e-01 3.33756856e-17)	(4.88311698e+01 8.05445391e+00 0.00000000e+00)
14.5            	p               	-4.80234027e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.5            	U               	(2.25833652e-01 -5.52468024e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.05078149e+00 7.13087718e-01 3.94533488e-17)	(4.88311698e+01 8.05445391e+00 0.00000000e+00)
14.55           	p               	-5.49536101e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.55           	U               	(2.26334810e-01 -5.35282480e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(8.76989222e-01 3.03449250e+00 4.75457215e-17)	(5.70259417e+01 1.48689905e+01 0.00000000e+00)
14.6            	p               	-6.17178759e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.6            	U               	(2.26059897e-01 -5.18266680e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(8.83310860e-01 3.05610843e+00 5.32864644e-17)	(5.70259417e+01 1.48689905e+01 0.00000000e+00)
14.65           	p               	-6.82929576e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.65           	U               	(2.24949484e-01 -5.01378983e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(8.88640616e-01 3.07343421e+00 5.88909890e-17)	(5.70259417e+01 1.48689905e+01 0.00000000e+00)
14.7            	p               	-7.46744429e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.7            	U               	(2.23058331e-01 -4.84685426e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(9.32347017e-01 6.09997746e-01 6.58121267e-17)	(4.86818293e+01 6.63910779e+00 0.00000000e+00)
14.75           	p               	-8.08411688e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.75           	U               	(2.20407573e-01 -4.68212603e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(9.04533604e-01 5.91620330e-01 7.15776107e-17)	(4.86818293e+01 6.63910779e+00 0.00000000e+00)
14.8            	p               	-8.67813297e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.8            	U               	(2.16977198e-01 -4.51940370e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(8.75143648e-01 5.72231208e-01 7.71947070e-17)	(4.86818293e+01 6.63910779e+00 0.00000000e+00)
14.85           	p               	-9.24542132e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.85           	U               	(2.12747281e-01 -4.35843256e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.30538327e+00 3.78558924e+00 3.21038761e-17)	(5.48154231e+01 1.30490465e+01 0.00000000e+00)
14.9            	p               	-9.78583845e+01	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.9            	U               	(2.07691775e-01 -4.19884583e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.30092513e+00 3.72801438e+00 3.40494258e-17)	(5.48154231e+01 1.30490465e+01 0.00000000e+00)
14.95           	p               	-1.02982387e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
14.95           	U               	(2.01787329e-01 -4.04025507e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.29351314e+00 3.66898637e+00 3.58964410e-17)	(5.48154231e+01 1.30490465e+01 0.00000000e+00)
15              	p               	-1.07786127e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15              	U               	(1.95012977e-01 -3.88225021e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.25500352e+00 3.61116504e+00 1.25723275e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.05           	p               	-1.12256850e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.05           	U               	(1.87351286e-01 -3.72441416e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23623038e+00 3.56633276e+00 1.30714467e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.1            	p               	-1.16348499e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.1            	U               	(1.78787160e-01 -3.56631515e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.21639098e+00 3.51944522e+00 1.35338471e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.15           	p               	-1.20347011e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.15           	U               	(1.69269039e-01 -3.40713038e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.19500182e+00 3.47006477e+00 1.40006773e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.2            	p               	-1.23852231e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.2            	U               	(1.58750004e-01 -3.24606440e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.17249981e+00 3.41875757e+00 1.44125445e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.25           	p               	-1.26987320e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.25           	U               	(-3.27373222e-02 -3.15870052e-01 -1.02426701e-16)	(4.60597246e+01 2.23120163e+01 0.00000000e+00)	(1.14900867e+00 3.36580854e+00 1.47937109e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.3            	p               	-1.30040051e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.3            	U               	(-7.55703715e-02 -3.96553675e-01 -1.04501574e-16)	(4.60597246e+01 2.23120163e+01 0.00000000e+00)	(1.12414065e+00 3.31089564e+00 1.51725819e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.35           	p               	-1.32595938e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.35           	U               	(-1.19660365e-01 -4.78744592e-01 -1.06014651e-16)	(4.60597246e+01 2.23120163e+01 0.00000000e+00)	(1.09824808e+00 3.25444963e+00 1.54957422e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.4            	p               	-1.34616870e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.4            	U               	(-1.66317367e-01 -5.58361579e-01 -1.07042773e-16)	(4.60597246e+01 2.23120163e+01 0.00000000e+00)	(1.07161547e+00 3.19688614e+00 1.57609769e-17)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
15.45           	p               	-1.36015323e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
15.45           	U               	(-2.14554527e-01 -6.39285574e-01 -1.07990973e-16)	(4.60597246e+01 2.23120163e+01 0.00000000e+00)	(1.04562086e+00 3.27081768e+00 5.06905513e-17)	(5.60872278e+01 1.44206274e+01 0.00000000e+00)
15.5            	p               	-1.37363806e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)
