# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
12.85           	U               	(4.10017459e-01 1.38108464e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10975677e+00 1.70444811e+00 9.78716300e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
12.9            	p               	-6.74218647e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61497242e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
12.9            	U               	(4.09943029e-01 1.36698580e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10945046e+00 1.70432372e+00 9.78339909e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
12.95           	p               	-6.74155387e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61538200e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
12.95           	U               	(4.09870228e-01 1.35266854e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10913454e+00 1.70416700e+00 9.77672682e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13              	p               	-6.74089175e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61582030e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13              	U               	(4.09798999e-01 1.33818093e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10880834e+00 1.70397598e+00 9.76880294e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.05           	p               	-6.74018288e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61624689e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.05           	U               	(4.09729318e-01 1.32354073e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10846966e+00 1.70374586e+00 9.75841567e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.1            	p               	-6.73907755e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61713227e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.1            	U               	(4.09661166e-01 1.30876132e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10811738e+00 1.70347351e+00 9.74346063e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.15           	p               	-6.73829516e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61762642e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.15           	U               	(4.09594524e-01 1.29385597e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10779258e+00 1.70323248e+00 9.75873454e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.2            	p               	-6.73715018e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61847849e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.2            	U               	(4.09529372e-01 1.27883654e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10747474e+00 1.70298922e+00 9.75715465e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.25           	p               	-6.73641794e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61893809e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.25           	U               	(4.09465692e-01 1.26371599e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10716212e+00 1.70274163e+00 9.75758722e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.3            	p               	-6.73525481e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.61979864e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.3            	U               	(4.09403463e-01 1.24850525e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10687698e+00 1.70253084e+00 9.76954026e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.35           	p               	-6.73457414e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62019236e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.35           	U               	(4.09342668e-01 1.23321605e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10658146e+00 1.70229136e+00 9.75935428e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.4            	p               	-6.73326879e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62120620e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.4            	U               	(4.09283287e-01 1.21785854e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10628266e+00 1.70203465e+00 9.74875958e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.45           	p               	-6.73250413e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62167154e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.45           	U               	(4.09225299e-01 1.20244436e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10598156e+00 1.70176199e+00 9.74303663e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.5            	p               	-6.73113777e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62274942e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.5            	U               	(4.09168688e-01 1.18698199e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10567930e+00 1.70147508e+00 9.73285687e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.55           	p               	-6.73044722e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62313638e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.55           	U               	(4.09113433e-01 1.17148163e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10537606e+00 1.70117415e+00 9.72785303e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.6            	p               	-6.72969668e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62356974e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.6            	U               	(4.09059516e-01 1.15595244e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10507240e+00 1.70086013e+00 9.72248562e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.65           	p               	-6.72854273e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62443060e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.65           	U               	(4.09006919e-01 1.14040278e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10476894e+00 1.70053415e+00 9.71393896e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.7            	p               	-6.72787534e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62476586e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.7            	U               	(4.08955621e-01 1.12484212e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10446590e+00 1.70019679e+00 9.70892384e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.75           	p               	-6.72715277e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62516262e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.75           	U               	(4.08905603e-01 1.10927898e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10416366e+00 1.69984900e+00 9.70353481e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.8            	p               	-6.72606592e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62592946e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.8            	U               	(4.08856848e-01 1.09372060e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10386272e+00 1.69949196e+00 9.69537101e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.85           	p               	-6.72534344e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62631273e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.85           	U               	(4.08809336e-01 1.07817550e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10356317e+00 1.69912620e+00 9.69000512e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.9            	p               	-6.72432512e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62698603e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.9            	U               	(4.08763049e-01 1.06265032e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10326537e+00 1.69875276e+00 9.68224362e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
13.95           	p               	-6.72360282e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62735666e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
13.95           	U               	(4.08717968e-01 1.04715311e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10296928e+00 1.69837204e+00 9.67666770e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14              	p               	-6.72268518e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62792113e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14              	U               	(4.08674075e-01 1.03168966e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10267518e+00 1.69798497e+00 9.66933080e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.05           	p               	-6.72205120e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62819181e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.05           	U               	(4.08631350e-01 1.01626747e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10238296e+00 1.69759187e+00 9.66385030e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.1            	p               	-6.72144804e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62850206e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.1            	U               	(4.08589777e-01 1.00089247e-03 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10209125e+00 1.69719084e+00 9.65547524e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.15           	p               	-6.72000519e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.62982470e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.15           	U               	(4.08549337e-01 9.85570556e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10180363e+00 1.69678859e+00 9.64920878e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.2            	p               	-6.71898284e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63045849e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.2            	U               	(4.08510013e-01 9.70307384e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10152244e+00 1.69638980e+00 9.65110990e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.25           	p               	-6.71756596e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63154812e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.25           	U               	(4.08471787e-01 9.55107335e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10124398e+00 1.69598878e+00 9.64091375e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.3            	p               	-6.71729062e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63146400e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.3            	U               	(4.08434643e-01 9.39975015e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10096803e+00 1.69558574e+00 9.63971062e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.35           	p               	-6.71650256e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63222537e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.35           	U               	(4.08398563e-01 9.24914718e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10069467e+00 1.69518137e+00 9.63609743e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.4            	p               	-6.71635664e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63210732e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.4            	U               	(4.08363531e-01 9.09931132e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10042370e+00 1.69477582e+00 9.63616221e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.45           	p               	-6.71604306e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63203384e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.45           	U               	(4.08329528e-01 8.95028745e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.10015522e+00 1.69436974e+00 9.63434013e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.5            	p               	-6.71589400e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63179364e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.5            	U               	(4.08296537e-01 8.80211712e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09988913e+00 1.69396349e+00 9.63389513e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.55           	p               	-6.71559732e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63169513e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.55           	U               	(4.08264543e-01 8.65483691e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09962541e+00 1.69355744e+00 9.63230607e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.6            	p               	-6.71528703e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63162290e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.6            	U               	(4.08233528e-01 8.50848201e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09936384e+00 1.69315167e+00 9.63036790e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.65           	p               	-6.71491633e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63161962e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.65           	U               	(4.08203475e-01 8.36308918e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09910384e+00 1.69274564e+00 9.62702199e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.7            	p               	-6.71429177e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63185215e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.7            	U               	(4.08174367e-01 8.21869112e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09884665e+00 1.69234180e+00 9.62392976e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.75           	p               	-6.71405027e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63156522e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.75           	U               	(4.08146188e-01 8.07532683e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09859424e+00 1.69194405e+00 9.62823417e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.8            	p               	-6.71335251e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63177167e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.8            	U               	(4.08118923e-01 7.93301379e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09834722e+00 1.69155398e+00 9.63016095e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.85           	p               	-6.71340146e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63128844e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.85           	U               	(4.08092554e-01 7.79178931e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09810230e+00 1.69116656e+00 9.63286949e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.9            	p               	-6.71303349e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63118757e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.9            	U               	(4.08067065e-01 7.65167897e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09785954e+00 1.69078215e+00 9.63232673e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
14.95           	p               	-6.71264614e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63112378e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
14.95           	U               	(4.08042441e-01 7.51270807e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09761878e+00 1.69040081e+00 9.63153028e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15              	p               	-6.71221585e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63108235e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15              	U               	(4.08018666e-01 7.37489842e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09737996e+00 1.69002269e+00 9.63043173e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.05           	p               	-6.71174671e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63107147e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.05           	U               	(4.07995724e-01 7.23827304e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09714302e+00 1.68964798e+00 9.62916547e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.1            	p               	-6.71129424e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63103189e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.1            	U               	(4.07973600e-01 7.10285203e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09690794e+00 1.68927685e+00 9.62820888e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.15           	p               	-6.71064538e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63117827e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.15           	U               	(4.07952279e-01 6.96865142e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09667473e+00 1.68890959e+00 9.62591139e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.2            	p               	-6.71051524e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63077909e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.2            	U               	(4.07931745e-01 6.83569738e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09644306e+00 1.68854581e+00 9.62760066e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.25           	p               	-6.70982392e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63097549e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.25           	U               	(4.07911985e-01 6.70399906e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09621308e+00 1.68818596e+00 9.62512885e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.3            	p               	-6.70950714e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63072369e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.3            	U               	(4.07892982e-01 6.57357124e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09598461e+00 1.68782990e+00 9.62569528e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.35           	p               	-6.70877183e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63093123e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.35           	U               	(4.07874723e-01 6.44443042e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09575781e+00 1.68747806e+00 9.62335743e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.4            	p               	-6.70802696e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63109085e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.4            	U               	(4.07857193e-01 6.31658808e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09553269e+00 1.68713058e+00 9.62119737e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.45           	p               	-6.70677653e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63172801e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.45           	U               	(4.07840378e-01 6.19005233e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09530967e+00 1.68678832e+00 9.61599820e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.5            	p               	-6.70731850e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63069987e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.5            	U               	(4.07824265e-01 6.06482827e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09508607e+00 1.68644679e+00 9.62067182e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.55           	p               	-6.70703093e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63036997e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.55           	U               	(4.07808838e-01 5.94094038e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09486318e+00 1.68610819e+00 9.62125280e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.6            	p               	-6.70625386e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63054624e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.6            	U               	(4.07794085e-01 5.81838658e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09464149e+00 1.68577338e+00 9.61874286e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.65           	p               	-6.70525587e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63091978e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.65           	U               	(4.07779992e-01 5.69717039e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09442102e+00 1.68544243e+00 9.61456288e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.7            	p               	-6.70441445e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63111614e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.7            	U               	(4.07766545e-01 5.57730552e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09420151e+00 1.68511495e+00 9.61158877e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.75           	p               	-6.70314839e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63174700e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.75           	U               	(4.07753732e-01 5.45878929e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09398314e+00 1.68479127e+00 9.60541414e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.8            	p               	-6.70236703e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63186464e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.8            	U               	(4.07741539e-01 5.34163609e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09376558e+00 1.68447082e+00 9.60307143e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.85           	p               	-6.70183353e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63169894e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.85           	U               	(4.07729953e-01 5.22584604e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09354870e+00 1.68415340e+00 9.60268856e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.9            	p               	-6.70102350e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63184350e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.9            	U               	(4.07718961e-01 5.11142227e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09333256e+00 1.68383906e+00 9.60024875e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
15.95           	p               	-6.70023044e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63193371e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
15.95           	U               	(4.07708552e-01 4.99836459e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09311715e+00 1.68352773e+00 9.59800526e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
16              	p               	-6.69944058e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63201063e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
16              	U               	(4.07698712e-01 4.88667513e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09290240e+00 1.68321928e+00 9.59585560e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
16.05           	p               	-6.69869487e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63202632e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
16.05           	U               	(4.07689430e-01 4.77635243e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09268829e+00 1.68291363e+00 9.59403188e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
16.1            	p               	-6.69836812e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63157453e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
16.1            	U               	(4.07680693e-01 4.66740539e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.09247463e+00 1.68261042e+00 9.59559459e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
16.15           	p               	-6.69752762e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.63169183e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
