 2.42682580278488e-001    1.17668240540363e+000
 2.55186132423984e-001    1.18164928847793e+000
 2.68826371128161e-001    1.18618969549916e+000
 2.85024154589372e-001    1.18945001858045e+000
 3.03779482807616e-001    1.19160119789276e+000
 3.23671497584541e-001    1.19298402081011e+000
 3.43847684001137e-001    1.19385424180821e+000
 3.64308042057403e-001    1.19455374122893e+000
 3.84200056834328e-001    1.19542374363346e+000
 4.03807899971583e-001    1.19637899752989e+000
 4.23984086388178e-001    1.19733468861346e+000
 4.44160272804774e-001    1.19829037969703e+000
 4.64336459221370e-001    1.19924607078060e+000
 4.84512645637965e-001    1.20011629177870e+000
 5.04688832054561e-001    1.20090104269132e+000
 5.24865018471157e-001    1.20151485343301e+000
 5.45325376527423e-001    1.20195794259733e+000
 5.65785734583689e-001    1.20223009159071e+000
 5.86246092639955e-001    1.20233130041314e+000
 6.06706450696221e-001    1.20251797932105e+000
 6.27166808752487e-001    1.20279012831442e+000
 6.47627166808753e-001    1.20280586705139e+000
 6.68087524865018e-001    1.20247972544648e+000
 2.32452401250355e-001    1.17137539073600e+000
 2.21938050582552e-001    1.16606815747481e+000
 7.41687979539642e-001    1.20287822152272e+000
 9.05370843989770e-001    1.20223490064922e+000
 9.25831202046036e-001    1.20233610947166e+000
 9.46291560102302e-001    1.20235184820863e+000
 1.56010230179028e-001    1.14012000786937e+000
 1.68797953964194e-001    1.14500163945177e+000
 1.85848252344416e-001    1.14843355848471e+000
 1.45780051150895e-001    1.13472752311627e+000
 1.40096618357488e-001    1.12882571534745e+000
 1.29298096050014e-001    1.12360373357816e+000
 5.82551861324240e-002    1.07859182022865e+000
 6.90537084398977e-002    1.08381380199795e+000
 0.00000000000000e+000    9.99230769230769e-001
 2.81329923273657e-002    1.04002164076333e+000
 9.97442455242967e-001    1.20230572496557e+000
 8.18414322250639e-001    1.20293724178635e+000
 9.71867007672634e-002    1.10238245130828e+000
 1.09974424552430e-001    1.11239228801889e+000
 8.18414322250639e-002    1.09313987802479e+000
 2.04603580562660e-001    1.15708046429274e+000
 3.83631713554987e-002    1.05926027936258e+000
